PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1941; 24,8;  0,0; 12,9; 10,3;  1,4;  0,0;  0,0;  0,0;  7,2;  8,8;  0,0;  2,5;  0,3;  0,0;  0,0;  3,3;  0,0;  0,0;  0,0;  0,0;  0,0;  2,8; 23,2; 16,7;  2,5;  0,6;  0,0;  0,0;16,0;2,3;0,0;24,8;135,6
  02/1941; 10,0; 20,0;  0,2;  0,0;  4,9;  7,8; 12,1;  0,0;  0,0;  0,0;  0,0; 42,9;  0,2;  0,0;  0,0;  0,0; 11,9; 12,3;  0,4;  0,0;  0,0; 22,2;  0,0; 37,3; 22,6;  0,3;  0,0;  0,0;---;---;---;42,9;205,1
  03/1941;  0,0; 15,1;  0,3; 14,0;  0,3;  2,4;  1,7;  0,4;  0,0;  0,0;  0,0;  5,2;  6,6;  2,5;  5,2;  0,0;  0,0;  0,2;  0,0;  0,0;  7,9;  1,1;  0,7; 32,8; 11,1;  0,0;  0,1;  0,0;0,0;0,0;4,7;32,8;112,3
  04/1941;  0,0;  1,0;  0,2;  1,1;  0,0;  0,0;  0,0;  1,9;  0,0;  0,0; 11,6;  0,0; 11,8;  0,0;  0,0;  0,0;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;11,8;29,8
  05/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 59,8;  2,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,8;0,0;0,0;0,0;59,8;75,1
  06/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5; 12,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;  8,6;  0,0;  0,0;0,0;0,0;---;15,2;38,0
  07/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,9;  0,2;  0,0;  0,0;  0,0; 21,7; 20,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;21,7;47,2
  08/1941;  0,0;  0,0;  0,0;  0,0;  3,1;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,0;  2,8;  8,5;  0,6;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;13,0;36,1
  09/1941;  0,0;  1,8; 24,7;  1,9;  0,0; 33,3;  1,3;  0,0;  0,0;  0,1;  3,4;  0,8;  1,4; 33,7;  0,0;  0,0;  0,0;  5,1;  0,0;  0,0; 17,1; 14,8;  0,4; 21,8;  0,2; 20,1; 18,1;  0,5;0,0;0,0;---;33,7;200,5
  10/1941;  6,6; 12,5;  0,0;  0,6;  8,2;  1,7;  0,0; 34,0;  3,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,4;  3,5;  0,0;  0,0;  0,0;  0,2;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;18,1;34,0;94,9
  11/1941;  4,9;  0,1;  0,0; 10,0;  6,2; 22,9;  0,4; 25,8;  0,2;  0,1;  0,1;  6,8;  1,6;  0,0;  0,0;  0,0; 48,1;  1,9;  0,0;  0,0; 25,7;  1,4;  3,6;  0,0;  0,0;  8,0; 17,8;  0,2;0,3;1,0;---;48,1;187,1
  12/1941;  0,0;  0,7;  0,0;  0,0;  0,0;  1,2;  0,5;  0,0;  4,2; 12,2; 10,0;  0,8; 15,3;  0,9; 36,5;  1,7;  0,8;  7,5;  0,8;  0,7;  1,2;  0,0;  9,0;  0,0;  0,5;  0,0;  0,0;  0,0;3,8;12,2;42,4;42,4;162,9
  01/1942;  0,3;  0,0;  0,0;  0,0;  3,2; 10,2;  0,0;  0,0;  0,0; 27,5;  0,0;  0,0;  0,0;  7,2; 17,0;  1,3;  9,3;  0,0;  0,0;  8,0;  0,2;  0,0;  0,0;  1,4;  0,0;  0,0; 27,2;  0,4;6,6;9,7;18,8;27,5;148,3
